Time(s),X,Y,Angle(deg)
0.0,437,-398,47.674
0.083,436,-398,47.609
0.167,437,-396,47.818
0.25,440,-396,48.013
0.334,439,-396,47.948
0.417,440,-396,48.013
0.5,435,-396,47.687
0.584,374,-438,40.493
0.667,199,-492,22.022
0.751,-30,-516,-3.327
0.834,-253,-480,-27.793
0.917,-414,-408,-45.418
1.001,-479,-372,-52.166
1.084,-442,-392,-48.431
1.167,-315,-456,-34.636
1.251,-114,-508,-12.648
1.835,-100,-512,-11.051
1.918,-293,-466,-32.16
2.001,-410,-414,-44.722
2.085,-435,-402,-47.258
2.168,-366,-438,-39.883
2.252,-217,-494,-23.715
2.335,-18,-522,-1.975
2.418,177,-506,19.28
2.502,320,-462,34.708
2.585,373,-440,40.289
2.669,328,-458,35.609
2.752,195,-498,21.384
2.835,8,-520,0.881
2.919,-187,-502,-20.431
3.002,-336,-456,-36.384
3.086,-403,-428,-43.277
3.169,-380,-440,-40.815
3.252,-277,-484,-29.783
3.336,-108,-522,-11.689
3.419,79,-524,8.574
3.502,240,-492,26.003
3.586,329,-460,35.573
3.669,330,-458,35.774
3.753,243,-486,26.565
3.836,88,-516,9.678
3.919,-97,-518,-10.606
4.003,-260,-486,-28.146
4.086,-363,-450,-38.892
4.17,-380,-444,-40.559
4.253,-317,-472,-33.886
4.336,-180,-512,-19.37
4.42,-9,-530,-0.973
4.503,158,-512,17.15
4.587,275,-478,29.912
4.67,316,-462,34.371
4.753,269,-476,29.472
4.837,152,-506,16.72
4.92,-13,-522,-1.427
5.004,-180,-508,-19.511
5.087,-307,-476,-32.82
5.17,-362,-458,-38.323
5.254,-335,-470,-35.48
5.337,-236,-504,-25.092
5.421,-85,-528,-9.145
5.504,78,-526,8.435
5.587,209,-500,22.685
5.671,280,-476,30.466
5.754,273,-476,29.836
5.837,194,-498,21.284
5.921,57,-522,6.232
6.004,-102,-522,-11.056
6.088,-241,-500,-25.734
6.171,-324,-478,-34.13
6.254,-333,-476,-34.976
6.338,-268,-498,-28.287
6.421,-145,-524,-15.468
6.505,4,-532,0.431
6.588,141,-516,15.283
6.671,234,-492,25.436
6.755,259,-482,28.251
6.838,212,-496,23.143
6.922,105,-518,11.459
7.005,-36,-528,-3.9
7.088,-175,-518,-18.667
7.172,-276,-498,-28.996
7.255,-313,-488,-32.676
7.339,-280,-498,-29.347
7.422,-185,-520,-19.584
7.505,-54,-534,-5.774
7.589,79,-528,8.51
7.672,182,-508,19.711
7.756,229,-494,24.871
7.839,212,-498,23.06
7.922,133,-516,14.454
8.006,16,-530,1.729
8.089,-117,-528,-12.494
8.172,-226,-512,-23.817
8.256,-283,-500,-29.51
8.339,-276,-502,-28.802
8.423,-209,-518,-21.973
8.506,-98,-532,-10.437
8.589,25,-532,2.69
8.673,132,-518,14.296
8.756,197,-504,21.349
8.84,204,-502,22.116
8.923,151,-514,16.371
9.006,54,-528,5.839
9.09,-67,-532,-7.178
9.173,-176,-522,-18.632
9.257,-249,-510,-26.023
9.34,-264,-506,-27.553
9.423,-221,-516,-23.185
9.507,-132,-528,-14.036
9.59,-21,-534,-2.252
9.674,86,-526,9.286
9.757,159,-514,17.189
9.84,186,-508,20.11
9.924,155,-514,16.781
